deliverableId,industry,status,score,artifacts,seconds,error,checkedAt
setup-quick,development_it,PASS,,2,3,"",2026-08-03T20:22:01.4101329+02:00
setup-quick,ai_data,PASS,,2,2,"",2026-08-03T20:22:03.5537932+02:00
setup-quick,design_creative,PASS,,2,2,"",2026-08-03T20:22:05.9091273+02:00
setup-quick,writing_translation,PASS,,2,2,"",2026-08-03T20:22:08.0773267+02:00
setup-quick,marketing,PASS,,2,2,"",2026-08-03T20:22:10.2275087+02:00
setup-quick,sales,PASS,,2,2,"",2026-08-03T20:22:12.3765493+02:00
setup-quick,admin_support,PASS,,2,2,"",2026-08-03T20:22:14.7178756+02:00
setup-quick,customer_service,PASS,,2,2,"",2026-08-03T20:22:16.8784640+02:00
setup-quick,business_consulting,PASS,,2,2,"",2026-08-03T20:22:19.1956986+02:00
setup-quick,finance_accounting,PASS,,2,2,"",2026-08-03T20:22:21.3920032+02:00
setup-quick,legal_services,PASS,,2,2,"",2026-08-03T20:22:23.6100834+02:00
setup-quick,ecommerce,PASS,,2,2,"",2026-08-03T20:22:25.8204239+02:00
setup-quick,engineering_architecture,PASS,,2,2,"",2026-08-03T20:22:28.0409325+02:00
setup-quick,video_animation,PASS,,2,2,"",2026-08-03T20:22:30.2061547+02:00
setup-quick,audio_music,PASS,,2,2,"",2026-08-03T20:22:32.4663514+02:00
setup-quick,education_training,PASS,,2,2,"",2026-08-03T20:22:34.6927867+02:00
setup-quick,hr_recruiting,PASS,,2,2,"",2026-08-03T20:22:37.0436541+02:00
setup-quick,photography,PASS,,2,2,"",2026-08-03T20:22:39.3645688+02:00
setup-quick,product_project_management,PASS,,2,2,"",2026-08-03T20:22:41.5293588+02:00
setup-quick,engineering_science,PASS,,2,2,"",2026-08-03T20:22:43.7423554+02:00
setup-quick,web3,PASS,,2,2,"",2026-08-03T20:22:45.9252870+02:00
setup-quick,localization,PASS,,2,2,"",2026-08-03T20:22:48.1123169+02:00
setup-quick,community_moderation,PASS,,2,2,"",2026-08-03T20:22:50.2250097+02:00
setup-quick,creator_services,PASS,,2,2,"",2026-08-03T20:22:52.4657669+02:00
setup-quick,real_estate_services,PASS,,2,2,"",2026-08-03T20:22:54.6731826+02:00
setup-quick,healthcare,PASS,,2,2,"",2026-08-03T20:22:56.8594282+02:00
setup-quick,legal,PASS,,2,2,"",2026-08-03T20:22:59.0540975+02:00
setup-quick,retail,PASS,,2,2,"",2026-08-03T20:23:01.2305216+02:00
setup-quick,hospitality,PASS,,2,2,"",2026-08-03T20:23:03.6777431+02:00
setup-quick,construction,PASS,,2,2,"",2026-08-03T20:23:05.8942543+02:00
setup-quick,education,PASS,,2,2,"",2026-08-03T20:23:08.1436723+02:00
