category,category_name_sr,vertical_count,avg_market_index,avg_vertical_package_eur,avg_owner_net_eur,avg_owner_net_after_quality_eur,total_owner_net_potential_eur
development_it,Development & IT,51,1.3,651,470,447,23970
design_creative,Dizajn & kreativa,34,1.06,386,258,245,8772
marketing,Marketing,30,1.1,410,278,264,8340
writing_translation,Pisanje & prevod,25,0.85,229,133,126,3325
ai_data,AI & Data,24,1.38,700,510,485,12240
ecommerce,E-commerce,21,1.14,425,290,276,6090
healthcare,Zdravstvo,21,1.45,858,636,604,13356
agriculture,Poljoprivreda,20,0.95,344,225,214,4500
automotive,Automobili,20,1.08,391,262,249,5240
beauty,Lepota i wellness,20,0.9,238,140,133,2800
construction,Građevina,20,1.05,380,254,241,5080
education,Obrazovanje,20,1,362,239,227,4780
energy,Energija,20,1.48,875,650,618,13000
entertainment,Zabava,20,1.08,391,262,249,5240
finance,Finansije,20,1.3,645,466,443,9320
fitness,Fitnes,20,0.92,243,144,137,2880
government,Javni sektor,20,1.5,887,659,626,13180
home_services,Kućne usluge,20,0.9,240,142,135,2840
hospitality,Ugostiteljstvo,20,0.86,229,133,126,2660
industrial,Industrija,20,1.35,799,589,560,11780
legal,Pravo,20,1.38,684,497,472,9940
logistics,Logistika,20,1.15,570,406,386,8120
manufacturing,Proizvodnja,20,1.18,585,418,397,8360
media,Mediji,20,1.05,380,254,241,5080
nonprofit,Neprofitne org.,20,0.72,150,70,67,1400
pets,Pet industrija,20,0.88,232,135,128,2700
professional,Profesionalne usluge,20,1.15,416,282,268,5640
real-estate,Nekretnine,20,1.2,595,426,405,8520
retail,Maloprodaja,20,0.88,232,135,128,2700
technology,Tehnologija,20,1.28,635,458,435,9160
travel,Putovanja,20,1.02,369,245,233,4900
admin_support,Admin podrška,18,0.82,217,123,117,2214
video_animation,Video & animacija,18,1.16,422,287,273,5166
audio_music,Audio & muzika,17,0.94,339,221,210,3757
engineering_architecture,Inženjering & arhitektura,17,1.34,661,478,454,8126
finance_accounting,Finansije & računovodstvo,17,1.32,658,476,452,8092
education_training,Obrazovanje & trening,16,1,362,239,227,3824
hr_recruiting,HR & regrutacija,16,1.12,411,278,264,4448
legal_services,Pravne usluge,16,1.4,688,500,475,8000
business_consulting,Biznis konsalting,15,1.26,625,450,428,6750
photography,Fotografija,14,0.9,240,142,135,1988
sales,Prodaja,14,1.08,407,275,261,3850
customer_service,Korisnička podrška,12,0.86,234,137,130,1644
engineering_science,Inženjering & nauka,6,1.32,648,468,445,2808
product_project_management,Proizvod & projekti,5,1.22,603,432,410,2160
community_moderation,Community & moderacija,4,0.88,237,139,132,556
creator_services,Creator usluge,4,0.98,363,240,228,960
localization,Lokalizacija,4,1.02,368,244,232,976
real_estate_services,Nekretnine usluge,4,1.2,595,426,405,1704
web3,Web3,4,1.42,707,515,489,2060
