# verticals
slug,name,category,category_name_sr,pricing_tier,market_index,market_intensity,tam_estimate_usd,competition_score,primary_deliverable_id,vertical_package_client_eur,primary_deliverable_client_eur,resource_cost_eur,owner_net_vertical_package_eur,owner_net_primary_eur,owner_net_after_quality_eur,has_page,has_outreach,href
admin-support-administrative-support,Administrative Support (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-administrative-support
admin-support-calendar-management,Calendar Management (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-calendar-management
admin-support-crm-data-management,Crm Data Management (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-crm-data-management
admin-support-data-collection,Data Collection (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-data-collection
admin-support-data-entry,Data Entry (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-data-entry
admin-support-document-management,Document Management (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-document-management
admin-support-email-management,Email Management (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-email-management
admin-support-executive-assistant,Executive Assistant (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-executive-assistant
admin-support-market-research,Market Research (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-market-research
admin-support-order-processing,Order Processing (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-order-processing
admin-support-personal-assistance,Personal Assistance (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-personal-assistance
admin-support-personal-assistant,Personal Assistant (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-personal-assistant
admin-support-project-coordination,Project Coordination (Admin Support),admin_support,Admin podrška,budget,0.82,42,110800,51,setup-quick,217,472,63,123,334,117,true,true,/solutions/admin-support-project-coordination
