"deliverableId","industryCategory","status","score","artifacts","paymentId","error","elapsedSec","checkedAt"
"setup-quick","admin_support","PASS","","2","f5325e55-7c49-4aca-8bc8-a5335cab0968","","5","2026-09-02T14:52:30.9855047+02:00"
"setup-full","admin_support","PASS","","4","ce2a9d41-14dc-4b12-adf1-b3b215ef5780","","5","2026-09-02T14:52:43.9584661+02:00"
"setup-custom","admin_support","PASS","","3","f70570a1-c836-47f5-b7d6-08e57150fd42","","5","2026-09-02T14:52:56.7456784+02:00"
"audit","admin_support","PASS","","2","72ccc7a5-0337-4eff-91ef-ac901be2948b","","5","2026-09-02T14:53:09.4864815+02:00"
"integration","admin_support","PASS","","3","ebc6af92-6763-4855-9887-3282d16bffff","","5","2026-09-02T14:53:22.0519342+02:00"
"workflow-design","admin_support","PASS","","2","37e8ba46-a571-4067-b3a3-51f9f8b8a55c","","5","2026-09-02T14:53:34.6112335+02:00"
"support-priority","admin_support","PASS","","2","804bb16a-cbd1-46e1-9666-69bcd8785394","","5","2026-09-02T14:53:47.3382798+02:00"
"support-dedicated","admin_support","PASS","","2","292ddd4b-b2fc-4156-803c-443bc558dbb0","","5","2026-09-02T14:53:59.9859829+02:00"
"landing","admin_support","PASS","","0","6c03d9d2-586d-4daa-a312-8e7646709569","","5","2026-09-02T14:54:12.6640657+02:00"
"website-business","admin_support","PASS","","0","14b22660-f0e0-444a-a431-a3991ada8b27","","1101","2026-09-02T15:12:41.7067203+02:00"
"website-ecommerce","admin_support","PASS","","0","9ab66bb4-95dd-49bc-a663-24a2d22ed97f","","5","2026-09-02T15:12:54.2760897+02:00"
"white-label-setup","admin_support","PASS","","2","467ef21b-5a8f-4dac-afff-90315be7c933","","5","2026-09-02T15:13:06.8007363+02:00"
"sales-enablement","admin_support","PASS","","2","374045a9-2daa-40a1-8b72-09f5b009761b","","5","2026-09-02T15:13:19.3735577+02:00"
"vertical-package","admin_support","PASS","","2","bb62e6ec-22c5-4a65-b280-05991cdb1d11","","5","2026-09-02T15:13:32.1543776+02:00"
"lead-gen-retainer","admin_support","PASS","","3","ece45a79-2c87-496c-9f3b-f298395c9173","","9","2026-09-02T15:13:48.7339288+02:00"
"ai-support-retainer","admin_support","PASS","","3","66eacb0b-f6c8-4ed0-a58a-7e93512e38dc","","5","2026-09-02T15:14:01.4386670+02:00"
"custom-software","admin_support","PASS","","2","8aee7f98-a9b8-4630-9667-b18d1de8597a","","4","2026-09-02T15:14:13.9338053+02:00"
"setup-quick","ai_data","PASS","","2","891f9125-cc37-432b-ab01-c94708daef28","","5","2026-09-02T15:14:26.5364394+02:00"
"setup-full","ai_data","PASS","","4","564d61d4-504c-4e68-9e66-3bd63f033d9f","","609","2026-09-02T15:24:44.1162487+02:00"
