"deliverableId","industryCategory","status","score","artifacts","paymentId","error","elapsedSec","checkedAt"
"website-business","hr_recruiting","PASS","","0","df0e5a7f-a529-454a-a05c-1128edb83b2a","","5","2026-08-04T17:20:23.7900263+02:00"
"vertical-package","hr_recruiting","PASS","","2","af62ac0c-b121-4684-b3ac-e3d728570694","","5","2026-08-04T17:21:30.6786964+02:00"
"setup-quick","hr_recruiting","PASS","","2","151b2e3c-1c22-4624-bfe7-e2ec0624b6c7","","103","2026-08-04T16:47:27.3849717+02:00"
"vertical-package","web3","PASS","","2","9dd0e9ab-a297-4cc1-9bda-13fce83e89bc","","5","2026-08-04T17:57:55.5352868+02:00"
"setup-full","hr_recruiting","PASS","","4","99d73b32-3cad-4960-b3c4-347e33843efb","","5","2026-08-04T17:00:02.7092694+02:00"
"support-dedicated","web3","PASS","","2","b6409e50-f2c3-455a-b651-d75a38083542","","5","2026-08-04T17:56:14.5952891+02:00"
"sales-enablement","web3","PASS","","2","9f680cff-d46c-4aa3-bbb9-a5f73b1883e1","","5","2026-08-04T17:57:38.6855044+02:00"
"landing","web3","PASS","","0","c703371c-01c6-44a9-bdc1-35dad59e7295","","5","2026-08-04T17:56:31.7906863+02:00"
"ai-support-retainer","web3","PASS","","3","d041567a-46bb-491a-93bf-c5c132b20f39","","5","2026-08-04T17:58:29.0035410+02:00"
"audit","web3","PASS","","2","d45ed4d2-c1aa-47bb-ae8c-e34223908ffa","","5","2026-08-04T17:55:08.1307879+02:00"
"support-dedicated","hr_recruiting","PASS","","2","f71fcea3-de0d-49d1-ba3d-8ba4e23ca62a","","5","2026-08-04T17:19:49.7484087+02:00"
"setup-custom","hr_recruiting","PASS","","3","14f202c2-d514-4162-bc55-01f1073839c0","","5","2026-08-04T17:01:22.5635305+02:00"
"integration","web3","PASS","","3","e79ff0af-369b-4d74-b689-2060f92cd838","","5","2026-08-04T17:55:24.7680209+02:00"
"lead-gen-retainer","web3","PASS","","3","48311a76-87f6-4b45-92ff-c62d389f946b","","5","2026-08-04T17:58:12.3348403+02:00"
"setup-quick","web3","PASS","","2","eb36f646-f16a-4cfa-85a6-9b4f9510967c","","5","2026-08-04T17:54:17.4460007+02:00"
"website-business","web3","PASS","","0","016bd2e2-257d-44eb-a8d0-15574b935764","","5","2026-08-04T17:56:48.4930116+02:00"
"website-ecommerce","hr_recruiting","PASS","","0","cc1d72b1-3641-4920-8a79-fc7e6ebe089b","","5","2026-08-04T17:20:40.5089162+02:00"
"support-priority","web3","PASS","","2","9b6695d3-d2c4-4edc-b6e6-a5525de56dfe","","4","2026-08-04T17:55:57.8938143+02:00"
"setup-custom","web3","PASS","","3","b7fd8109-d7f7-4137-bcdb-005754909762","","5","2026-08-04T17:54:51.1140432+02:00"
"ai-support-retainer","hr_recruiting","PASS","","3","e96c12c7-b989-4f59-a08c-db55857e1f99","","5","2026-08-04T17:22:04.0000129+02:00"
"integration","hr_recruiting","PASS","","3","b24c8e18-d3c1-48f8-bb07-34f51e367819","","5","2026-08-04T17:18:58.5982674+02:00"
"sales-enablement","hr_recruiting","PASS","","2","795e7316-904e-4202-82b1-eff77ae9354a","","5","2026-08-04T17:21:13.7474996+02:00"
"landing","hr_recruiting","PASS","","0","881dde7c-d405-40c8-99a1-000b38252631","","5","2026-08-04T17:20:06.8106283+02:00"
"lead-gen-retainer","hr_recruiting","PASS","","3","4489999b-bca9-4bcc-bb8c-edf5b84e0d15","","5","2026-08-04T17:21:47.3122373+02:00"
"setup-full","web3","PASS","","4","9a96f6f3-5e01-48fc-bf9e-0def4431a0b9","","5","2026-08-04T17:54:34.5197938+02:00"
