deliverableId,industryCategory,status,score,artifacts,paymentId,error,elapsedSec,checkedAt
setup-quick,home_services,PASS,,2,53288abb-8b45-4bec-9ddb-69c7d5815ca5,"",174,2026-08-04T18:13:22.0044708+02:00
setup-full,home_services,PASS,,4,32812304-02c6-4a5c-8bb1-86483c74f656,"",5,2026-08-04T18:14:37.0075835+02:00
setup-custom,home_services,PASS,,3,206128e7-4a28-45d5-9deb-bbcb3a0896bb,"",43,2026-08-04T18:16:30.5316730+02:00
audit,home_services,PASS,,2,c0baf8a0-cfa7-4e0f-89b5-e97e42a7fabd,"",5,2026-08-04T18:17:45.2900812+02:00
integration,home_services,PASS,,3,fc81c9c2-f75b-4971-b735-45ef66cff7b5,"",16,2026-08-04T18:19:12.6121072+02:00
workflow-design,home_services,PASS,,2,bd41775c-ce71-4ea6-a771-e8ed1b952aa4,"",64,2026-08-04T18:21:27.1550729+02:00
support-priority,home_services,PASS,,2,9e8c6b01-9af4-4777-8453-d69c35944d29,"",24,2026-08-04T18:23:02.3483142+02:00
support-dedicated,home_services,PASS,,2,3e73dcb9-e6bc-42e2-b1b5-1684ba6ac1d9,"",6,2026-08-04T18:24:18.2496557+02:00
landing,home_services,PASS,,0,e4fcba6c-4a4c-4172-908f-70b45480fcb1,"",6,2026-08-04T18:25:34.4194832+02:00
website-business,home_services,PASS,,0,d1afe391-be1a-4adc-ab0c-7574a6128aaf,"",5,2026-08-04T18:26:50.3012356+02:00
website-ecommerce,home_services,PASS,,0,161c7c49-1fea-4958-a486-3b952bdc4a19,"",12,2026-08-04T18:28:12.5861023+02:00
white-label-setup,home_services,PASS,,2,0507076e-9dda-4950-a0c6-efdcc354eb06,"",5,2026-08-04T18:29:27.5000667+02:00
sales-enablement,home_services,PASS,,2,497b15fe-5b28-46f0-a99f-f6a830c5d432,"",5,2026-08-04T18:30:42.1258565+02:00
vertical-package,home_services,PASS,,2,9b891094-7c06-4665-82f8-a3b4bafca4bb,"",5,2026-08-04T18:31:57.1164911+02:00
lead-gen-retainer,home_services,PASS,,3,b16c9bc0-e6a4-46e2-8b5c-23c46a556d73,"",13,2026-08-04T18:33:20.3707246+02:00
ai-support-retainer,home_services,PASS,,3,073234d7-09e6-4ac7-933d-673870258a1e,"",7,2026-08-04T18:34:39.2338536+02:00
custom-software,home_services,PASS,,2,6867fe43-0dfc-4d59-921e-d421504f2b78,"",11,2026-08-04T18:36:01.2823175+02:00
setup-quick,pets,PASS,,2,076aaa96-51f8-45a9-aacc-864080e93839,"",7,2026-08-04T18:37:18.2380665+02:00
setup-full,pets,PASS,,4,79faa8cf-230d-43e3-8c93-dc50d80f6c30,"",5,2026-08-04T18:38:33.2997074+02:00
setup-custom,pets,PASS,,3,3e86b760-6e2c-4593-bf60-1199c6963628,"",5,2026-08-04T18:39:48.6813501+02:00
audit,pets,FAIL,,0,dc415793-7e66-4b04-a8bc-e4c11fee05c7,"The remote server returned an error: (500) Internal Server Error.",1,2026-08-04T18:40:59.9821119+02:00
